close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
"3,978.99",3.13,21.53,57.86605001,16.35,46.25166812,0.998885383,"8,945.00","1.739,00",3942.37
"3,912.39",3,15.14,48.12971971,13.35,48.90369182,0.981431915,"8,985.00","1.723,30",3955.92
"3,961.90",2.6,13.91,54.28732038,15.95,49.38985669,1.011938209,"9,000.00","1.723,00",3944.49
"3,952.82",2.73,12.07,53.0436538,13.22,47.61058121,1.002823662,"9,005.00","1.715,90",3952.396667
"3,953.04",2.85,10.5,53.07170568,16.07,45.7305397,0.996988636,"8,955.00","1.726,30",3969.033333
"3,927.61",3.57,7.13,49.39815025,12.5,45.22192972,0.977771416,"9,005.00","1.726,80",3991.503333
"3,976.54",3.27,8.31,55.74552683,15.77,45.48964903,0.990186631,"9,000.00","1.724,50",3985.593333
"4,002.95",3.1,11.24,58.75297642,18.87,44.24538838,1.007084651,"9,040.00","1.757,10",3949.463333
"3,995.02",4.01,12.78,57.48963651,14.86,42.78928921,1.010003919,"9,050.00","1.770,00",3904.796667
"3,958.81",3.04,10.95,51.9921046,11.82,42.67791141,0.99250633,"9,045.00","1.784,90",3886.38
"3,894.56",4,4.27,43.95943993,7.82,47.4130606,0.978781047,"9,045.00","1.775,10",3916.596667
"3,861.02",2.1,-3.69,40.44644736,5.72,48.0421277,0.986869918,"9,125.00","1.773,60",3950.353333
"3,903.56",2.79,-6.49,46.30728336,8.51,48.11483286,0.985274742,"9,030.00","1.787,00",3984.123333
"3,985.21",3.34,-2.1,55.3832556,11.85,50.55520194,1.00819415,"9,020.00","1.709,90",3984.02
"3,962.29",2.33,-0.46,52.69075794,9.52,49.40483037,1.002339971,"9,080.00","1.721,10",3985.616667
"4,004.87",2.5,4.22,56.88436176,12.02,48.99877106,1.019670996,"9,080.00","1.708,80",3964.833333
"3,984.90",1.8,6.25,54.44671817,10.22,48.22385884,1.00210233,"9,122.50","1.703,00",3959.09
"3,967.08",1.99,6.35,52.29325566,8.23,48.03786893,0.991039109,"9,137.50","1.671,40",3967.243333
"3,942.52",2.44,4.39,49.39363021,5.79,47.31302115,0.986858639,"9,110.00","1.683,30",3982.186667
"3,967.67",2.25,4.82,52.30984347,8.04,45.88209106,1.002238046,"9,135.00","1.698,10",3995.843333
"3,991.54",2.57,7,54.96253727,10.61,44.57051313,1.024901401,"9,132.50","1.710,90",4016.773333
"3,987.35",2.08,8.3,54.39062592,8.53,44.16904791,1.032719333,"9,157.50","1.699,20",4034.316667
"4,008.64",2.18,10.91,56.8476677,10.71,42.53768734,1.026919018,"9,165.00","1.693,70",4040.95
"4,054.33",2.94,16.49,61.62550427,13.65,43.04999539,1.01734413,"9,170.00","1.642,50",4031.083333
"4,039.98",3.29,19.52,59.40098541,10.36,42.36642429,1.019607348,"9,167.50","1.659,10",4025.146667
