open,high,low,close,volume,will5,will14,ema12,ema26,cny,ltc,next1
739.73,759.11,737.15,753.99,10.13,-11.60734527,-6.713237035,731.080095,782.8778127,6.065398,0.032,799.04
753.99,817.56,750,799.04,18.64,-18.05772231,-8.712834023,741.535465,784.0750118,6.072566,0.0323,808.52
799.04,819.9,771.18,808.52,76.87,-12.65850945,-5.295486273,751.8407781,785.8857517,6.082374,0.0304,827.65
808.52,840,783.02,827.65,33.23,-11.22727273,-5.255319149,763.5037353,788.9793997,6.082661,0.0298,913.93
827.65,980,827.41,913.93,54.92,-27.2060943,-19.07993531,786.6462375,798.2349997,6.062066,0.0293,936.27
898.73,1019,886.44,936.27,75.02,-30.75464684,-21.94429708,809.6652779,808.4598146,6.073466,0.031,837.02
936.27,945,810,837.02,49.39,-73.43232992,-48.27055703,813.8736967,810.5753838,6.062194,0.02984,824.98
837.02,899.84,788,824.98,19.31,-82.2188321,-56.56559767,815.5823587,811.6423924,6.061795,0.02949,850.29
824.98,870,807.42,850.29,8,-73.03463203,-55.34197146,820.9219959,814.5051782,6.064921,0.02919,857.33
850.29,857.34,817,857.33,8.19,-69.98701299,-53.18092105,826.5232273,817.6773872,6.081475,0.0291,899.84
857.33,918.05,857.17,899.84,18.75,-28.76433121,-39.19736842,837.8027308,823.7635067,6.080307,0.0289,860
899.84,900.94,833,860,25.43,-44.6366782,-55.01730104,841.2176953,826.4476914,6.060744,0.02836,850
860,860,815,850,25.81,-61.51134412,-58.47750865,842.5688191,828.1923068,6.064084,0.0286,831
850,877.29,805,831,31.72,-77.00132685,-66.70214653,840.7890008,828.4002841,6.050878,0.0282,850
831,864,828,850,6.71,-60.19460416,-62.82527881,842.2060776,830.0002631,6.065668,0.02897,826.97
850,865,824,826.97,27.71,-77.100271,-77.48769268,839.8620656,829.7757991,6.072698,0.029,804.35
826.97,835.06,788,804.35,26.35,-81.68887893,-90.9610984,834.3986709,827.8924066,6.079747,0.0295,819.51
804.35,844.14,804,819.51,18.78,-64.7104939,-86.35930736,832.1081062,827.2714876,6.079453,0.0295,835
819.51,848.9,819.51,835,11.94,-38.96103896,-79.65367965,832.5530129,827.84397,6.0589,0.0291,843.77
835,855,830.1,843.77,4.45,-27.57142857,-64.47770701,834.2787032,829.0236759,6.061,0.0295,829.01
843.77,845.99,820.1,829.01,6.9,-38.79104478,-68.46597463,833.4681335,829.0226629,6.058867,0.0286,830.89
829.01,834.53,821,830.89,1.71,-47.2745098,-67.02037678,833.0714976,829.1609842,6.071745,0.028,830.89
830.89,830.89,821,830.89,11.58,-67.93462947,-67.02037678,832.7358826,829.2890594,6.061628,0.02776,794.93
830.89,836.35,783,794.93,24.52,-83.43055556,-91.16623473,826.9195929,826.7439439,6.080919,0.02623,812.02
794.93,830,794.93,812.02,9.93,-53.92919511,-75.39426827,824.6273479,825.6532814,6.081038,0.0266,826.72
812.02,840,812.02,826.72,6.57,-23.29824561,-53.63241065,824.9492944,825.7322976,6.070572,0.02688,790
826.72,840,790,790,23.97,-87.71929825,-92.57609503,819.5724798,823.0854607,6.070072,0.02646,815.99
790,830,775,815.99,27.48,-36.93846154,-54.45555556,819.0213291,822.559871,6.072292,0.0266,795
815.99,826.23,795,795,18.92,-69.23076923,-77.77777778,815.32574,820.5183991,6.07457,0.0269,808
