open,high,low,close,volume,nextlow
739.73,759.11,737.15,753.99,10.13,750
753.99,817.56,750,799.04,18.64,771.18
799.04,819.9,771.18,808.52,76.87,783.02
808.52,840,783.02,827.65,33.23,827.41
827.65,980,827.41,913.93,54.92,886.44
898.73,1019,886.44,936.27,75.02,810
936.27,945,810,837.02,49.39,788
837.02,899.84,788,824.98,19.31,807.42
824.98,870,807.42,850.29,8,817
850.29,857.34,817,857.33,8.19,857.17
857.33,918.05,857.17,899.84,18.75,833
899.84,900.94,833,860,25.43,815
860,860,815,850,25.81,805
850,877.29,805,831,31.72,828
831,864,828,850,6.71,824
850,865,824,826.97,27.71,788
826.97,835.06,788,804.35,26.35,804
804.35,844.14,804,819.51,18.78,819.51
819.51,848.9,819.51,835,11.94,830.1
835,855,830.1,843.77,4.45,820.1
843.77,845.99,820.1,829.01,6.9,821
829.01,834.53,821,830.89,1.71,821
830.89,830.89,821,830.89,11.58,783
830.89,836.35,783,794.93,24.52,794.93
794.93,830,794.93,812.02,9.93,812.02
812.02,840,812.02,826.72,6.57,790
826.72,840,790,790,23.97,775
790,830,775,815.99,27.48,795
815.99,826.23,795,795,18.92,787.01
795,815.23,787.01,808,27.02,801
808,812.63,801,812.19,12.87,803.41
812.19,835,803.41,825,6.47,814.86
825,835,814.86,814.86,7.25,803.65
814.86,819.8,803.65,819.78,7.27,799.58
819.78,819.78,799.58,802.4,11.43,802.4
802.4,815.9,802.4,802.69,10.42,767.61
802.69,803.73,767.61,767.61,39.76,666.35
767.61,775.21,666.35,723,63.49,682.61
723,730,682.61,693.65,30.6,680.01
693.65,756.1,680.01,696.49,36.77,550
696.49,748,550,690.2,31.78,660
690.2,720,660,672.6,32.13,651.31
672.6,714.56,651.31,670.67,18.85,595.63
670.67,680,595.63,623.95,44.68,586.43
623.95,710,586.43,670.34,42.45,646.88
670.34,682.78,646.88,656.28,11.81,600
656.28,668.82,600,635.79,18.52,593.68
635.79,679.06,593.68,638.1,39.7,623
638.1,652.51,623,636.52,20.84,602.91
636.52,640,602.91,630.16,13,565.57
630.16,641.36,565.57,575.72,49.97,547.72
575.72,597.05,547.72,572.27,28.37,567.55
572.27,620.9,567.55,605.43,13.24,600.91
605.43,650.28,600.91,616.88,21.05,540.64
616.88,616.9,540.64,572,29.7,450
572,572,450,522.84,60.12,522.84
522.84,650,522.84,593.14,105.88,580.5
593.14,629.9,580.5,596.49,45.84,570
596.49,599,570,573.94,29.32,550
573.94,605,550,575,8.04,572.41
575,588.08,572.41,578,2.16,578
578,700,578,669.75,67.58,661.48
669.75,720,661.48,680.6,27.98,660.01
680.6,690.17,660.01,680.99,5.23,660.1
680.99,693,660.1,665.66,4.39,628.73
665.66,680.46,628.73,641.48,13.85,623
641.48,667.99,623,636.01,4.22,629.05
636.01,658,629.05,641.57,1.82,630
641.57,684.5,630,642.08,6.5,560
642.08,665.93,560,641.82,18.36,550.28
641.82,660,550.28,651.08,7.9,620
651.08,657.99,620,653.4,4.78,550
653.4,654.91,550,631.24,24.79,618.29
631.24,646,618.29,646,3.2,639
646,652,639,651.95,7.62,616
651.95,651.95,616,637.73,1.91,610.01
637.73,637.73,610.01,619.78,9.05,612.22
619.78,633.66,612.22,620,4.86,590
620,625.02,590,590,8.49,580
590,615.23,580,590,16.27,554.05
590,596,554.05,572.3,11.84,566.36
572.3,596,566.36,574.22,1.31,554.5
574.22,592.54,554.5,585.4,5.69,579
585.4,591.15,579,579.02,5.73,579
579.02,641.14,579,585.09,13.33,502.78
585.09,599.27,502.78,502.78,34.78,500
502.78,553,500,516.48,44.09,505
516.48,518,505,514.99,6.11,436.07
514.99,514.99,436.07,467.1,33.23,443.35
467.1,530,443.35,462.39,17.6,462.39
462.39,503.23,462.39,490.73,17.55,443.63
490.73,497.15,443.63,443.63,15.11,426.45
443.63,463.7,426.45,458.6,15.54,440
458.6,550,440,458.84,21.14,447.57
458.84,467.85,447.57,467.85,0.9441,450
467.85,469.44,450,461.82,5.12,450
461.82,475.32,450,462.08,7.09,454.38
462.08,465.82,454.38,454.39,3.32,450
454.39,462.09,450,461.09,1.27,383.08
461.09,461.09,383.08,383.08,17.11,353.76
383.08,583.75,353.76,430,16.22,429.01
430,450,429.01,448,10.71,407.07
448,448,407.07,429.79,9.32,411.34
429.79,480.07,411.34,459.38,42.64,450.5
459.38,573.67,450.5,523.74,30.52,490.56
523.74,550.8,490.56,523.52,51.73,495.53
523.52,530.36,495.53,504.29,16.15,477.19
504.29,515,477.19,485.56,31.51,479.96
485.56,525.28,479.96,504.5,10.97,500
504.49,510,500,504.73,1.54,485
504.73,517.31,485,496.42,17.33,484.62
496.42,510.49,484.62,489.72,7.49,489
489.72,504.5,489,495.62,7.02,490
495.62,501.95,490,501.95,3.58,449
501.95,503.48,449,471.02,27.38,456.75
471.02,476.18,456.75,463.7,3.39,438.72
463.7,463.7,438.72,438.72,2.91,429.09
438.72,455.09,429.09,446.18,6.12,435.65
446.18,454.62,435.65,445.68,7.31,441.23
445.68,452.82,441.23,448.34,9.06,448
448.34,464.42,448,459.32,14.51,446.49
459.32,459.32,446.49,455.16,7.08,432.43
455.16,455.16,432.43,441.04,8.5,431.17
441.04,445.4,431.17,442,1.77,429.18
442,442,429.18,429.18,5.66,422.19
429.18,439.69,422.19,431.87,5.75,431.61
431.87,452.74,431.61,441.89,20.36,441.81
441.89,452,441.81,448.26,5.79,441.81
448.26,459.22,441.81,450.63,4.04,446.1
450.63,458,446.1,454.99,5.53,432.88
454.99,454.99,432.88,441.5,11.53,432.21
441.5,445.22,432.21,440.82,7.19,436.45
440.82,444.76,436.45,440.78,4.51,440.78
440.78,445.52,440.78,445.52,0.8711,440.89
445.52,449.59,440.89,449.59,3.02,447.1
449.59,453.83,447.1,453.83,5.59,446.2
453.83,453.83,446.2,453.83,0.2061,445.56
453.83,453.83,445.56,445.56,2.58,445.56
445.56,445.56,445.56,445.56,0,445.56
445.56,498.84,445.56,493.43,25.28,490.85
493.43,497.67,490.85,494.77,4.24,494.77
494.77,530,494.77,530,32.85,515.31
530,548.05,515.31,521.47,14.82,515.21
521.47,530,515.21,530,2.62,530
530,589,530,574.05,15.83,563.68
574.05,589.11,563.68,583.2,10.95,538.84
583.2,594.64,538.84,570.92,26.92,565.22
570.92,589.16,565.22,575.83,4.52,564.9
575.83,576.26,564.9,570.49,2.18,566.15
570.49,628.61,566.15,616.08,18.38,603.87
616.08,628.13,603.87,628.13,15.4,621.79
628.13,673.37,621.79,627.54,37.05,621.79
627.54,672.64,621.79,665.58,10.32,652.26
665.58,677.91,652.26,671.43,16.68,525
671.43,671.43,525,650.48,59.16,650.45
650.48,669.75,650.45,657.01,15.16,653.4
657.01,660,653.4,653.4,5.27,636.68
653.4,659.8,636.68,659.8,4.75,646
659.8,659.8,646,646.54,0.888,636.5
646.54,656.44,636.5,643.44,4.65,643.44
643.44,657.72,643.44,646.89,7.13,617.99
646.89,649.93,617.99,617.99,19.6,552
617.99,637.06,552,565.56,75.97,565.56
565.56,617.31,565.56,589.68,19.43,542.96
589.68,600,542.96,575.6,15.89,534.28
575.6,589.55,534.28,589.55,34.51,574.18
589.55,612.91,574.18,597.14,10.67,586.25
597.14,608.98,586.25,608.97,2.8,603.41
608.97,625,603.41,605.89,10,594.12
605.89,627.05,594.12,595.93,8.41,578.51
595.93,602.79,578.51,593.9,5.81,581.09
593.9,598.5,581.09,590.59,0.7642,584.75
590.59,602.33,584.75,596.24,8.34,584.42
596.24,596.24,584.42,584.42,2.64,576.13
584.42,595.23,576.13,586.15,2.85,557.43
586.15,586.15,557.43,564.42,29.23,564.42
564.42,583.26,564.42,583.26,2.76,575.35
583.26,600,575.35,597.69,21.78,590.76
597.69,604.38,590.76,596.12,4.14,589.76
596.12,602.3,589.76,589.76,0.9983,587.72
589.76,645,587.72,637.07,18.67,634.16
637.07,657.83,634.16,650,12.04,638
650,658.87,638,645.77,25.77,638.89
645.77,655.08,638.89,647.55,6.04,622.6
647.55,655,622.6,635.25,10.3,618
635.25,635.25,618,628.99,3.74,628.99
628.99,652.78,628.99,629.1,2.25,614.74
629.1,638.97,614.74,625.99,6.47,614.74
625.99,626.87,614.74,617.04,1.44,615.35
617.04,627.9,615.35,627.9,1.63,614.47
627.9,632.11,614.47,614.47,0.6427,614.47
614.47,629.46,614.47,629.46,1.5,629.46
629.46,639.34,629.46,632,0.6899,625.29
632,653.49,625.29,626.5,1.05,618.14
626.5,632.67,618.14,626.23,1.34,620.03
626.23,626.23,620.03,620.03,0.18,612.9
620.03,626.16,612.9,625.22,7.41,610.35
625.22,630.01,610.35,624.98,0.9631,615.17
624.98,629,615.17,626,12.29,626
626,630,626,630,1.56,619
630,630,619,619,0.5068,619
619,629.77,619,629.77,0.0006352,618.69
629.77,629.77,618.69,618.69,8.44,610
618.69,623.98,610,618.62,7.5,593.86
618.62,623.43,593.86,605.64,17.72,593.8
605.64,623.22,593.8,596.08,8.67,593.8
596.08,607.96,593.8,600,5.06,600
600,600,600,600,0.1545,574.58
600,600,574.58,591.9,4.09,575.07
591.9,597.66,575.07,583.21,2.68,566.75
583.21,588.98,566.75,566.75,11.67,566.75
566.75,591.95,566.75,590.21,33.05,584.77
590.21,602.36,584.77,596.4,3.05,590.49
596.4,601.18,590.49,590.49,2.57,578.86
590.49,594.8,578.86,578.86,1.79,578.86
578.86,596.25,578.86,596.25,4.11,579
596.25,598.03,579,579,9.04,579
579,579,579,579,0,577.24
579,593,577.24,580.58,16.81,580.58
580.58,590,580.58,590,0.4273,578.14
590,590,578.14,590,7.8,583.24
590,595.36,583.24,583.24,1.66,572.77
583.24,595.36,572.77,572.77,0.4779,566.99
572.77,580,566.99,580,3.82,531.64
580,580,531.64,535.08,4.35,501
535.08,553.83,501,523.76,31.83,501
523.76,530,501,530,22.87,500
530,530,500,503.52,12.1,500
503.52,539.99,500,500,2.65,455
500,505,455,455,28.55,455
455,500.5,455,500.5,77.76,474.02
474.02,530,474.02,530,13.53,500.01
530,530,500.01,505,4.62,482.22
505,529.97,482.22,529.95,9.62,482.27
529.95,529.95,482.27,525,0.5639,524.88
525,525,524.88,524.88,0.7,490.1
524.88,524.88,490.1,516.12,26.86,516.12
516.12,516.12,516.12,516.12,0,516.12
516.12,524.85,516.12,524.85,1.31,495.08
524.85,524.85,495.08,495.08,0.02382,495.08
495.08,524.88,495.08,524.88,0.5178,495.26
524.88,524.88,495.26,524.27,0.4584,490.5
524.27,524.27,490.5,509.98,5.61,490.01
509.98,509.98,490.01,490.01,0.09953,490.01
490.01,524.77,490.01,524.77,0.00003811,524.77
524.77,524.77,524.77,524.77,0,475
524.77,524.77,475,475.01,3.41,475.01
475.01,475.01,475.01,475.01,0,475.01
475.01,524.77,475.01,524.77,0.1769,480
524.77,524.77,480,480,1.24,465
480,524.77,465,488.77,41.14,465
488.77,488.77,465,475,0.5077,475
475,475,475,475,0.02,475
475,475,475,475,1.01,475
475,475,475,475,0,474.77
475,475,474.77,474.77,0.1492,474.77
474.77,490,474.77,490,0.212,465.01
490,490,465.01,465.01,3.08,465
465.01,528,465,465,2.76,445
465,465,445,445,5.14,400
445,503.18,400,503.18,18.12,375.94
503.18,503.18,375.94,375.94,1.5,375.94
375.94,466.67,375.94,385,0.1559,385
385,450,385,385.01,1.2,295
385.01,425,295,404.83,24.18,404.83
404.83,453,404.83,449.81,6.9,412.34
449.81,449.81,412.34,433.15,4.09,397
433.15,433.15,397,397,4.51,397
397,397,397,397,0,397
397,397,397,397,0,387.63
397,450,387.63,390,10.78,370.01
390,394,370.01,370.94,0.7155,370.12
370.94,393.22,370.12,380.02,6.68,380.02
380.02,390,380.02,390,2,370.1
390,390,370.1,370.11,0.275,355
370.11,389.98,355,355,20.27,322.11
355,369.63,322.11,322.11,38.11,273.33
322.11,330,273.33,330,18.72,300
330,349.85,300,349.85,53.41,315.06
349.85,349.85,315.06,335,0.12,335
335,359.98,335,359.98,8.1,335.16
359.98,400,335.16,370.19,30.22,355.59
370.19,378.99,355.59,355.59,7.78,355.59
355.59,379,355.59,357.18,0.4618,352.83
357.18,379,352.83,379,16.63,370.1
379,400,370.1,400,20.85,395.28
400,418.99,395.28,411.26,29.73,385.48
411.26,411.26,385.48,400.31,11.23,374.61
400.31,400.31,374.61,389.14,16.08,376.73
389.14,389.14,376.73,381.01,0.05216,371
381.01,395.79,371,395.79,0.9598,395.79
395.79,395.79,395.79,395.79,0,391.24
395.79,395.79,391.24,391.24,0.05,371
391.24,391.58,371,391.58,9.92,371.38
391.58,393.49,371.38,388.71,2.66,365
388.71,388.71,365,368.64,11.95,355
368.64,373.69,355,373.35,7.6,355
373.35,373.35,355,359.51,7.81,359.51
359.51,384.72,359.51,362.5,6.12,362.5
362.5,368.15,362.5,364.3,0.04324,352.01
364.3,365.13,352.01,365.13,0.5898,335.01
365.13,365.13,335.01,335.07,8.87,335
335.07,350,335,346.02,7.56,344.29
346.02,347.95,344.29,347.95,0.03559,320
347.95,347.95,320,320,5.66,320
320,325.19,320,323.94,0.1154,323.94
323.94,325.19,323.94,325,4.97,325
325,330,325,325,16.87,325
325,348.2,325,328.2,9.73,328.2
328.2,349.17,328.2,348,0.04009,333
348,348,333,347.08,6.6,330.16
347.08,350,330.16,350,4.81,338.66
350,350,338.66,350,19.36,350
350,370,350,355,3.57,355
355,372.63,355,371.7,5.42,371.7
371.7,430.36,371.7,423.48,219.46,380
423.48,450,380,415,65.88,395
415,417.77,395,395,23.16,378.97
395,395,378.97,379.99,10.68,379.56
379.99,395,379.56,380,1.56,376
380,414.26,376,400,25.27,370.39
400,400,370.39,375.02,13.23,375.02
375.02,392.96,375.02,390,0.9256,354.33
390,390,354.33,354.38,67.07,342.66
354.38,360,342.66,360,1.64,360
360,370,360,370,4.05,360
370,370,360,370,4.76,370
370,385,370,372,11.24,372
372,390,372,376,10.13,366.42
376,389.94,366.42,372.87,19.24,365.01
372.87,385.69,365.01,376.9,2.38,360.52
376.9,387,360.52,387,23.27,379.09
387,387,379.09,379.09,4.2,379.09
379.09,386.32,379.09,386.32,0.001595,370.13
386.32,386.74,370.13,374.03,4.18,372.91
374.03,386.15,372.91,386.15,3.81,371.46
386.15,386.15,371.46,380,23.49,364.72
380,380,364.72,379.75,3.76,375.19
379.75,380,375.19,375.19,4.68,367
375.19,394.59,367,374,34.17,370.43
374,389.98,370.43,373.07,0.3818,360.29
373.07,376.06,360.29,362.58,4.53,342.46
362.58,376,342.46,345.49,6.64,345.49
345.49,357.5,345.49,345.56,0.1607,342.5
345.56,372.12,342.5,372.12,0.7364,346.77
372.12,372.12,346.77,360,0.9118,350
360,360,350,352,33.15,350
352,358.98,350,350,0.6043,342.04
350,358.98,342.04,343.07,22.78,330.09
342.04,358.92,330.09,330.09,4.45,315.02
330.09,355.33,315.02,329.99,30.11,310
329.99,332.17,310,320,5.86,310.03
320,368.12,310.03,349.98,23.07,348.99
349.98,349.98,348.99,348.99,1.87,319.67
348.99,348.99,319.67,325.01,39.87,325.01
325.01,327.06,325.01,327.06,1.08,327.06
327.06,342.08,327.06,338.75,0.5716,320.38
338.75,338.75,320.38,320.38,4.11,320.38
320.38,320.38,320.38,320.38,0,320.38
