"open","high","low","close","volume","will5","ema12","ema26","next1"
739.73,759.11,737.15,753.99,10.13,-11.60734527,731.080095,782.8778127,799.04
753.99,817.56,750,799.04,18.64,-18.05772231,741.535465,784.0750118,808.52
799.04,819.9,771.18,808.52,76.87,-12.65850945,751.8407781,785.8857517,827.65
808.52,840,783.02,827.65,33.23,-11.22727273,763.5037353,788.9793997,913.93
827.65,980,827.41,913.93,54.92,-27.2060943,786.6462375,798.2349997,936.27
898.73,1019,886.44,936.27,75.02,-30.75464684,809.6652779,808.4598146,837.02
936.27,945,810,837.02,49.39,-73.43232992,813.8736967,810.5753838,824.98
837.02,899.84,788,824.98,19.31,-82.2188321,815.5823587,811.6423924,850.29
824.98,870,807.42,850.29,8,-73.03463203,820.9219959,814.5051782,857.33
850.29,857.34,817,857.33,8.19,-69.98701299,826.5232273,817.6773872,899.84
857.33,918.05,857.17,899.84,18.75,-28.76433121,837.8027308,823.7635067,860
899.84,900.94,833,860,25.43,-44.6366782,841.2176953,826.4476914,850
860,860,815,850,25.81,-61.51134412,842.5688191,828.1923068,831
850,877.29,805,831,31.72,-77.00132685,840.7890008,828.4002841,850
831,864,828,850,6.71,-60.19460416,842.2060776,830.0002631,826.97
850,865,824,826.97,27.71,-77.100271,839.8620656,829.7757991,804.35
826.97,835.06,788,804.35,26.35,-81.68887893,834.3986709,827.8924066,819.51
804.35,844.14,804,819.51,18.78,-64.7104939,832.1081062,827.2714876,835
819.51,848.9,819.51,835,11.94,-38.96103896,832.5530129,827.84397,843.77
835,855,830.1,843.77,4.45,-27.57142857,834.2787032,829.0236759,829.01
843.77,845.99,820.1,829.01,6.9,-38.79104478,833.4681335,829.0226629,830.89
829.01,834.53,821,830.89,1.71,-47.2745098,833.0714976,829.1609842,830.89
830.89,830.89,821,830.89,11.58,-67.93462947,832.7358826,829.2890594,794.93
830.89,836.35,783,794.93,24.52,-83.43055556,826.9195929,826.7439439,812.02
794.93,830,794.93,812.02,9.93,-53.92919511,824.6273479,825.6532814,826.72
812.02,840,812.02,826.72,6.57,-23.29824561,824.9492944,825.7322976,790
826.72,840,790,790,23.97,-87.71929825,819.5724798,823.0854607,815.99
790,830,775,815.99,27.48,-36.93846154,819.0213291,822.559871,795
815.99,826.23,795,795,18.92,-69.23076923,815.32574,820.5183991,808
795,815.23,787.01,808,27.02,-49.23076923,814.1987031,819.5911103,812.19
808,812.63,801,812.19,12.87,-42.78461538,813.8896718,819.0428799,825
812.19,835,803.41,825,6.47,-16.66666667,815.5989531,819.484148,814.86
825,835,814.86,814.86,7.25,-41.96707647,815.485268,819.1416186,819.78
814.86,819.8,803.65,819.78,7.27,-31.71494061,816.145996,819.1889061,802.4
819.78,819.78,799.58,802.4,11.43,-92.03839639,814.0312274,817.9452834,802.69
802.4,815.9,802.4,802.69,10.42,-91.21964992,812.2864232,816.8152624,767.61
802.69,803.73,767.61,767.61,39.76,-100,805.4131273,813.1704282,723
767.61,775.21,666.35,723,63.49,-63.08243728,792.7341846,806.4911372,693.65
723,730,682.61,693.65,30.6,-82.20686958,777.4904639,798.1325344,696.49
693.65,756.1,680.01,696.49,36.77,-79.84620528,765.0288541,790.6034578,690.2
696.49,748,550,690.2,31.78,-44.74441335,753.5167227,783.1661646,672.6
690.2,720,660,672.6,32.13,-45.56191999,741.0679961,774.9760784,670.67
672.6,714.56,651.31,670.67,18.85,-41.45075206,730.2375352,767.2497022,623.95
670.67,680,595.63,623.95,44.68,-64.11935953,713.8856067,756.6349094,670.34
623.95,710,586.43,670.34,42.45,-39.22222222,707.1862826,750.2426939,656.28
670.34,682.78,646.88,656.28,11.81,-47.70532305,699.3545468,743.2824944,635.79
656.28,668.82,600,635.79,18.52,-61.4766253,689.5753858,735.3200874,638.1
635.79,679.06,593.68,638.1,39.7,-58.18564376,681.6560956,728.1185994,636.52
638.1,652.51,623,636.52,20.84,-59.46427126,674.7120809,721.333518,630.16
636.52,640,602.91,630.16,13,-59.05723906,667.8579146,714.5799241,575.72
630.16,641.36,565.57,575.72,49.97,-91.05648075,653.6828508,704.2940038,572.27
575.72,597.05,547.72,572.27,28.37,-81.30805543,641.1577969,694.5144479,605.43
572.27,620.9,567.55,605.43,13.24,-44.92795114,635.6612127,687.9155999,616.88
605.43,650.28,600.91,616.88,21.05,-32.56630265,632.7717954,682.6537036,572
616.88,616.9,540.64,572,29.7,-71.39730026,623.4222884,674.457133,522.84
572,572,450,522.84,60.12,-63.63091672,607.9480902,663.2262343,593.14
522.84,650,522.84,593.14,105.88,-28.53005792,605.6699225,658.0346614,596.49
593.14,629.9,580.5,596.49,45.84,-26.85739964,604.2576267,653.4757975,573.94
596.49,599,570,573.94,29.32,-38.03,599.5933764,647.584257,575
573.94,605,550,575,8.04,-37.5,595.8097801,642.2076454,578
575,588.08,572.41,578,2.16,-56.62157911,593.0698139,637.4515235,669.75
578,700,578,669.75,67.58,-20.16666667,604.8667656,639.8440032,680.6
669.75,720,661.48,680.6,27.98,-23.17647059,616.5180324,642.8629659,680.99
680.6,690.17,660.01,680.99,5.23,-22.94705882,626.4367967,645.6871907,665.66
680.99,693,660.1,665.66,4.39,-36.81821262,632.4711357,647.166658,641.48
665.66,680.46,628.73,641.48,13.85,-55.29577465,633.8571148,646.7454241,636.01
641.48,667.99,623,636.01,4.22,-86.58762887,634.1883279,645.9502075,641.57
636.01,658,629.05,641.57,1.82,-73.47142857,635.3239698,645.6257477,642.08
641.57,684.5,630,642.08,6.5,-72.74285714,636.363359,645.3630997,641.82
642.08,665.93,560,641.82,18.36,-34.2811245,637.2028423,645.1006479,651.08
641.82,660,550.28,651.08,7.9,-24.89941886,639.3377896,645.5435629,653.4
651.08,657.99,620,653.4,4.78,-23.17091343,641.5012066,646.1255212,631.24
653.4,654.91,550,631.24,24.79,-39.59851301,639.9225594,645.02289,646
631.24,646,618.29,646,3.2,-17.19140861,640.8575503,645.0952685,651.95
646,652,639,651.95,7.62,-7.318181818,642.564081,645.6030264,637.73
651.95,651.95,616,637.73,1.91,-18.76099639,641.8203762,645.0198392,619.78
637.73,637.73,610.01,619.78,9.05,-33.48584501,638.4295491,643.1502215,620
619.78,633.66,612.22,620,4.86,-76.2086211,635.5942339,641.4353903,590
620,625.02,590,590,8.49,-100,628.5797364,637.6253614,590
590,615.23,580,590,16.27,-86.10145935,622.6443923,634.0975568,572.3
590,596,554.05,572.3,11.84,-78.19072658,614.8991012,629.51996,574.22
572.3,596,566.36,574.22,1.31,-74.66398694,608.6407779,625.4236667,585.4
574.22,592.54,554.5,585.4,5.69,-55.82640552,605.0652736,622.4589506,579.02
585.4,591.15,579,579.02,5.73,-59.1860085,601.0583084,619.2412506,585.09
579.02,641.14,579,585.09,13.33,-64.35870938,598.6016456,616.7115283,502.78
585.09,599.27,502.78,502.78,34.78,-100,583.859854,608.2721559,516.48
502.78,553,500,516.48,44.09,-88.32365028,573.4937226,601.4727369,514.99
516.48,518,505,514.99,6.11,-89.37933966,564.4931499,595.0666083,467.1
514.99,514.99,436.07,467.1,33.23,-84.86858146,549.5095884,585.5876002,462.39
467.1,530,443.35,462.39,17.6,-83.87254902,536.1065748,576.4618521,490.73
462.39,503.23,462.39,490.73,17.55,-53.25408364,529.1255633,570.1113445,443.63
490.73,497.15,443.63,443.63,15.11,-91.95145321,515.9723997,560.742356,458.6
443.63,463.7,426.45,458.6,15.54,-68.95219701,507.1458767,553.1762556,458.84
458.6,550,440,458.84,21.14,-73.78389316,499.7142033,546.1883848,467.85
458.84,467.85,447.57,467.85,0.9441,-66.49129907,494.8120182,540.3855415,461.82
467.85,469.44,450,461.82,5.12,-71.3719142,489.7363231,534.5658717,462.08
461.82,475.32,450,462.08,7.09,-71.16147309,485.4815042,529.1965479,454.39
462.08,465.82,454.38,454.39,3.32,-86.91818182,480.6981958,523.6553221,461.09
454.39,462.09,450,461.09,1.27,-51.27927928,477.6815503,519.0208538,383.08
461.09,461.09,383.08,383.08,17.11,-100,463.1274656,508.951161,430
383.08,583.75,353.76,430,16.22,-66.85073264,458.0309325,503.1029268,448
430,450,429.01,448,10.71,-59.0243054,456.4877121,499.0212285,429.79
448,448,407.07,429.79,9.32,-66.94204096,452.3803718,493.8929894,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,453.4572377,491.3364716,523.74
