"open","high","low","close","volume","will5","next1"
739.73,759.11,737.15,753.99,10.13,-11.60734527,799.04
753.99,817.56,750,799.04,18.64,-18.05772231,808.52
799.04,819.9,771.18,808.52,76.87,-12.65850945,827.65
808.52,840,783.02,827.65,33.23,-11.22727273,913.93
827.65,980,827.41,913.93,54.92,-27.2060943,936.27
898.73,1019,886.44,936.27,75.02,-30.75464684,837.02
936.27,945,810,837.02,49.39,-73.43232992,824.98
837.02,899.84,788,824.98,19.31,-82.2188321,850.29
824.98,870,807.42,850.29,8,-73.03463203,857.33
850.29,857.34,817,857.33,8.19,-69.98701299,899.84
857.33,918.05,857.17,899.84,18.75,-28.76433121,860
899.84,900.94,833,860,25.43,-44.6366782,850
860,860,815,850,25.81,-61.51134412,831
850,877.29,805,831,31.72,-77.00132685,850
831,864,828,850,6.71,-60.19460416,826.97
850,865,824,826.97,27.71,-77.100271,804.35
826.97,835.06,788,804.35,26.35,-81.68887893,819.51
804.35,844.14,804,819.51,18.78,-64.7104939,835
819.51,848.9,819.51,835,11.94,-38.96103896,843.77
835,855,830.1,843.77,4.45,-27.57142857,829.01
843.77,845.99,820.1,829.01,6.9,-38.79104478,830.89
829.01,834.53,821,830.89,1.71,-47.2745098,830.89
830.89,830.89,821,830.89,11.58,-67.93462947,794.93
830.89,836.35,783,794.93,24.52,-83.43055556,812.02
794.93,830,794.93,812.02,9.93,-53.92919511,826.72
812.02,840,812.02,826.72,6.57,-23.29824561,790
826.72,840,790,790,23.97,-87.71929825,815.99
790,830,775,815.99,27.48,-36.93846154,795
815.99,826.23,795,795,18.92,-69.23076923,808
795,815.23,787.01,808,27.02,-49.23076923,812.19
808,812.63,801,812.19,12.87,-42.78461538,825
812.19,835,803.41,825,6.47,-16.66666667,814.86
825,835,814.86,814.86,7.25,-41.96707647,819.78
814.86,819.8,803.65,819.78,7.27,-31.71494061,802.4
819.78,819.78,799.58,802.4,11.43,-92.03839639,802.69
802.4,815.9,802.4,802.69,10.42,-91.21964992,767.61
802.69,803.73,767.61,767.61,39.76,-100,723
767.61,775.21,666.35,723,63.49,-63.08243728,693.65
723,730,682.61,693.65,30.6,-82.20686958,696.49
693.65,756.1,680.01,696.49,36.77,-79.84620528,690.2
696.49,748,550,690.2,31.78,-44.74441335,672.6
690.2,720,660,672.6,32.13,-45.56191999,670.67
672.6,714.56,651.31,670.67,18.85,-41.45075206,623.95
670.67,680,595.63,623.95,44.68,-64.11935953,670.34
623.95,710,586.43,670.34,42.45,-39.22222222,656.28
670.34,682.78,646.88,656.28,11.81,-47.70532305,635.79
656.28,668.82,600,635.79,18.52,-61.4766253,638.1
635.79,679.06,593.68,638.1,39.7,-58.18564376,636.52
638.1,652.51,623,636.52,20.84,-59.46427126,630.16
636.52,640,602.91,630.16,13,-59.05723906,575.72
630.16,641.36,565.57,575.72,49.97,-91.05648075,572.27
575.72,597.05,547.72,572.27,28.37,-81.30805543,605.43
572.27,620.9,567.55,605.43,13.24,-44.92795114,616.88
605.43,650.28,600.91,616.88,21.05,-32.56630265,572
616.88,616.9,540.64,572,29.7,-71.39730026,522.84
572,572,450,522.84,60.12,-63.63091672,593.14
522.84,650,522.84,593.14,105.88,-28.53005792,596.49
593.14,629.9,580.5,596.49,45.84,-26.85739964,573.94
596.49,599,570,573.94,29.32,-38.03,575
573.94,605,550,575,8.04,-37.5,578
575,588.08,572.41,578,2.16,-56.62157911,669.75
578,700,578,669.75,67.58,-20.16666667,680.6
669.75,720,661.48,680.6,27.98,-23.17647059,680.99
680.6,690.17,660.01,680.99,5.23,-22.94705882,665.66
680.99,693,660.1,665.66,4.39,-36.81821262,641.48
665.66,680.46,628.73,641.48,13.85,-55.29577465,636.01
641.48,667.99,623,636.01,4.22,-86.58762887,641.57
636.01,658,629.05,641.57,1.82,-73.47142857,642.08
641.57,684.5,630,642.08,6.5,-72.74285714,641.82
642.08,665.93,560,641.82,18.36,-34.2811245,651.08
641.82,660,550.28,651.08,7.9,-24.89941886,653.4
651.08,657.99,620,653.4,4.78,-23.17091343,631.24
653.4,654.91,550,631.24,24.79,-39.59851301,646
631.24,646,618.29,646,3.2,-17.19140861,651.95
646,652,639,651.95,7.62,-7.318181818,637.73
651.95,651.95,616,637.73,1.91,-18.76099639,619.78
637.73,637.73,610.01,619.78,9.05,-33.48584501,620
619.78,633.66,612.22,620,4.86,-76.2086211,590
620,625.02,590,590,8.49,-100,590
590,615.23,580,590,16.27,-86.10145935,572.3
590,596,554.05,572.3,11.84,-78.19072658,574.22
572.3,596,566.36,574.22,1.31,-74.66398694,585.4
574.22,592.54,554.5,585.4,5.69,-55.82640552,579.02
585.4,591.15,579,579.02,5.73,-59.1860085,585.09
579.02,641.14,579,585.09,13.33,-64.35870938,502.78
585.09,599.27,502.78,502.78,34.78,-100,516.48
502.78,553,500,516.48,44.09,-88.32365028,514.99
516.48,518,505,514.99,6.11,-89.37933966,467.1
514.99,514.99,436.07,467.1,33.23,-84.86858146,462.39
467.1,530,443.35,462.39,17.6,-83.87254902,490.73
462.39,503.23,462.39,490.73,17.55,-53.25408364,443.63
