Open,High,Low,Close
732,757.99,729.01,754.9
751.88,798.7,742.5,784.19
784.19,818.99,767.62,809.4
808.24,830,790.2,828.79
828.79,948,826.07,905
905,995,876,919.24
915.8,943,785,785
785,849.79,765,823.45
823.94,848,779.78,824.76
825.5,861.4,799.41,852.61
851.63,909.96,849.51,896.59
895,905,826.46,844.05
844.04,844.05,783.11,823
823.99,837,800,815.99
815.99,850.26,805.18,841.14
841.14,849,810.01,814.4
814.4,821,765,797.2
796.97,817.12,796,810
810,842.07,791.01,842.07
841.5,845,815,826.02
826.02,834.5,814,824.89
824.88,824.99,801,819.2
819.2,823.28,801.1,812
810.95,811.74,767.02,780
780,817,773.4,806.8
806.81,834,795.01,814.75
814.67,823,725,751.95
750.95,812.93,740.01,788
785.51,804.95,781.99,794.21
794.21,812.44,770.7,799.99
799.99,809.98,791,803
803,827.38,802.59,813.23
813.23,825.21,810.23,814.99
814.94,815,800.5,808.5
806.99,812.98,796.83,802.99
802,810,775,782.33
780.01,803,752,763.99
764,766.45,619,705.01
705.01,723,662.01,680.49
680.49,755.42,666.21,687.37
688,713,530,687.81
688.34,720,631,675.1
677,685.19,631.58,651.99
650.04,660,601.54,604.11
609.4,712.9,538.01,669
670.34,673.17,628.88,655.83
655.83,670,590.01,621
621,664.99,610,633.66
633.66,650,609.99,627.7
627.7,636,617,623.01
623.01,631,560.9,561.86
561.86,589,530.01,581.35
581.35,619.88,562.15,610.88
610.77,646,599.78,610.09
609.9,629,514.02,535.49
535.49,545.8,400,535
534.34,610,530,585.24
585.24,599.99,571.22,583
584.7,591.39,541,551.89
551.8,576,535,567.48
567.46,570.99,553,566.24
565.38,710,562.02,677.69
677.69,702.24,633.64,673
673.27,679.97,651.9,669.99
669,675.71,650,669.57
669.57,670,613.45,632.79
632.79,639.79,604.5,620
620.02,653,613.03,640
638.4,646.59,609,629.39
628.02,644.44,614.17,632.1
631.72,656.95,628.8,634.95
634.95,650,632,641.01
641.02,645,625.29,630.42
630.99,639.88,625.32,637.24
637.58,639.39,629.02,634.99
634.99,634.99,619.46,621.11
622.97,624.17,591.13,612
613.84,623.95,605.11,611.2
610.01,611.3,578.66,587.98
585.6,607.88,556,570
569.99,571.99,541,565.31
564.31,569.48,556.74,561
558.22,592.6,547,585.99
585.9,587.48,568.86,583.77
583.77,592,565,581.49
581.48,581.59,466.1,475
475,532,468.3,502.01
502.01,508,486.97,491.99
491.99,492,436,460
460,486.7,438,454.83
454.81,509.98,452.04,478.98
478.98,494.98,430,439
438.9,465,416.11,451.03
451.03,459.5,430.77,452.2
450,464.8,441.25,464.8
464.8,465,450.2,456.27
459.97,464.19,446,447.11
447.11,459.8,446.24,453.57
453.57,457.3,438.08,441.69
441.69,442.46,357.57,363.12
363.1,432.22,339.79,423
423,439.5,413.72,423.42
424.91,427.75,397.16,416.3
416.29,475,408,458.5
459.99,528.75,453.16,521
523.1,548,494.02,530
529.26,533.8,481.63,500.09
500.09,506.97,470,483.11
482.1,507.43,472.81,503.8
505.18,516.53,493,500
501.07,515,490,496.74
497.98,504.9,485.2,490
490,495.2,484.61,492
491.94,505,480,502.2
502.15,503.99,438.05,466.52
466.71,470.96,451.07,459
459.22,461.97,429.95,430
430,452.16,424,442.9
440.41,454.47,432.02,448
448,453.99,433.08,448.85
449,465.88,447.97,460.97
460.97,462.99,444.51,454.5
452,454.5,431,439
439,442.83,429.55,438.04
435.88,445,425,433
431.64,434,420.27,428.01
429,452,425.67,440
441.47,450.08,437.61,437.69
439.6,457.08,437.71,452.37
452.78,459.24,449.79,455.39
457.7,458.2,429.6,440
437.67,443.77,431.56,442.5
442.48,442.75,430.61,439.12
439.12,449.96,438.36,446
444.07,452.67,444.02,446
446.27,452.41,444.5,447.31
447.55,451.48,445.01,449.06
449.07,451.43,444.52,446.91
446.91,450,441.44,448.34
448.34,500,447.14,489
489,499.1,487.11,493.98
493.98,530,492.65,529.99
529.99,547.1,518.55,523.77
523.75,529.06,515.4,528.44
528.44,586.34,527.09,573.9
573.5,593.48,565.58,581.88
581.87,595,550.22,572.7
572.7,582.26,563.45,580.66
580.66,582.1,560.05,572.37
572.37,629.4,568.56,621
621,628.5,611,627.8
627.8,683.26,618.53,630.99
630.99,678,613.03,661.22
662,680.99,649.61,670.14
668.9,673.61,621.86,640.59
640.55,669.63,639.69,661.48
661.46,662.13,647.16,647.16
647.16,657.13,635.88,657.13
657.13,661.11,651.7,658
658,659,639.93,648.83
648.83,657.41,642.45,648.55
648.55,652.39,615,620.5
623.81,630.36,550,569.1
569.98,611.99,563,592
592,593.53,538.38,566.58
566.58,593,552.11,588.55
592,610,582.01,586.91
587,610.2,580,606.48
606.48,616,599.9,607
607.99,609.98,590,593.4
593.41,598.68,580.51,588.02
590,594.99,580,591.29
591.33,605.05,587.82,600.34
600.34,601,580.46,588.22
588.22,588.25,572.1,572.62
574,579.7,554.45,560.4
560.4,580.11,557.2,579.99
580.09,600,574,599.99
599.99,604.21,589.56,589.56
591.46,601.79,589.56,599.89
599.86,647.09,595.51,641.11
640,658.88,638,638.25
638.25,658.75,638,650.5
650.49,652.79,638.79,645.99
648.48,650.48,616.3,629
628.81,632.97,623.23,630
630.9,639,622.86,630.57
633.87,636,612.9,622.09
622.09,626.22,616.89,623.98
623.98,626.88,618.71,621.97
621.96,623.93,607.9,616.87
616.87,635,613.46,635
634.99,642.57,628.7,638.1
637.9,638.73,626.09,630.88
630.88,632,616.84,621.17
621.15,626.25,616.09,622.9
622.9,625,610.01,616.86
617.39,629,610,622.2
626.3,632.96,618.46,632.6
632.59,632.6,625,628.63
630,630,620,627
626.98,628,615,622.73
622.63,624.99,618.26,618.26
619.99,623,615.51,621
620.95,621.99,591.12,601.66
603.96,609.65,592.97,602.93
602.93,603,590,596.23
